Organization,Organization Description,Organization Status,Country,Region,City,Organization Employee Count,Organization Website,Organization Name,Founders,Investors
Ripio,Ripio is a bitcoin and digital payments company that provides electronic payment solutions for businesses in Latin America.,active,United States,California,San Francisco,251-500,https://www.ripio.com/,Ripio,,
Grey,"Secure global banking in 40+ markets. US, UK & EU bank accounts. Global payments from 80+ countries. Regulated by FINTRAC & FinCEN.",active,United States,Delaware,Middletown,51-100,https://grey.co,Grey,,
Anchorage Digital,Anchorage Digital is a regulated crypto platform that provides institutions with integrated financial services and infrastructure solutions.,active,United States,California,San Francisco,251-500,https://www.anchorage.com,Anchorage Digital,,
RoadFlex,Smart fuel card and expense management platform for commercial fleets of all sizes,active,United States,California,San Francisco,51-100,https://www.roadflex.com,RoadFlex,,
SoLo Funds,SoLo is a community finance platform where our members step up for one another.,active,United States,California,Los Angeles,51-100,http://www.solofunds.com,SoLo Funds,,
Binance.US,Binance is a cryptocurrency exchange that provides a platform for trading various cryptocurrencies.,active,United States,California,Palo Alto,251-500,https://www.binance.us,Binance.US,,
Array,"Array delivers embeddable, custom-branded credit and identity tools, personalized offers, and more.",active,United States,New York,New York,251-500,https://www.array.com,Array,,
Noyo,Noyo is a software company that provides digital infrastructure to bring health insurance with an API platform.,active,United States,California,San Francisco,51-100,http://www.noyo.com,Noyo,,
Prometheum,"Prometheum is a SEC and FINRA-regulated, full-service market ecosystem for blockchain securities.",active,United States,New York,New York,51-100,https://www.prometheum.com/,Prometheum,,
Stash,"Stash develops a personal finance application to combine banking, investing, and advice into one platform.",active,United States,New York,New York,251-500,http://www.stash.com,Stash,,
Unqork,"Unqork is a no-code enterprise application platform that helps companies build, deploy, and manage complex applications.",active,United States,New York,New York,251-500,https://www.unqork.com,Unqork,,
Parafin,Parafin is a financial infrastructure company that offers pre-built financial services programs to support small businesses.,active,United States,California,San Francisco,51-100,https://www.parafin.com,Parafin,,
Ava Labs,"AVA is a blockchain platform with revolutionary scalability, decentralization, security, and flexibility.",active,United States,New York,New York,101-250,https://avalabs.org,Ava Labs,,
TJC,TJC is a private equity firm that specializes in buying and building companies.,active,United States,New York,New York,51-100,https://tjclp.com,TJC,,
Model ML,Model ML is an artificial intelligence platform that enhances workflows for investment banks and private equity firms.,active,United States,New York,New York,51-100,https://www.modelml.com,Model ML,,
Benepass,Benepass is a benefits administration platform that helps companies manage and distribute employee perks and benefits.,active,United States,New York,New York,51-100,http://www.getbenepass.com,Benepass,,
Paxos,Paxos is a regulated financial institution building infrastructure to enable movement between physical and digital assets.,active,United States,New York,New York,251-500,https://www.paxos.com,Paxos,,
Orange Bank & Trust Company,Orange Bank & Trust Company is a commercial bank.,active,United States,New York,Middletown,101-250,http://orangecountytrust.com,Orange Bank & Trust Company,,
Hummingbird,Hummingbird is a technology company that provides solutions to enhance anti-money laundering and counter-terrorist financing investigations.,active,United States,California,Covina,51-100,https://hummingbird.co/,Hummingbird,,
Quanta,Quanta provides software companies with real-time financial clarity and empowerment.,active,United States,California,San Francisco,51-100,https://www.usequanta.com/,Quanta,,
