Organization,Organization Description,Country,Organization Employee Count,Funding Total Value USD,Funding Total Currency,Last Funding Type,Categories,Organization Name,Founders,Investors
Evolus,Evolus medical aesthetics focused on providing physicians and their patients with expanded choices in aesthetic procedures and treatments.,United States,251-500,"$574,004,780",USD,post_ipo_debt,"Biotechnology, Health Care, Pharmaceutical",Evolus,,"Oxford Finance LLC, Pharmakon Advisors"
Sangamo Therapeutics,"Sangamo researches, develops and commercializes engineered DNA-binding proteins for the development of novel therapeutic strategies.",United States,251-500,"$569,100,000",USD,post_ipo_equity,"Biotechnology, Genetics, Health Care, Pharmaceutical, Therapeutics",Sangamo Therapeutics,Edward Lanphier,"National Institutes of Health, California Institute for Regenerative Medicine"
Atara Biotherapeutics,"Atara Biotherapeutics (Nasdaq: ATRA) is an off-the-shelf, allogeneic T-cell immunotherapy company.",United States,101-250,"$566,816,156",USD,post_ipo_equity,"Biotechnology, Health Care, Oncology, Therapeutics",Atara Biotherapeutics,Isaac Ciechanover,"Kleiner Perkins, Redmile Group, EcoR1 Capital, Domain Associates, Panacea Venture"
Silk Road Medical,Silk Road Medical specializes in providing medical devices and solutions for the treatment of vascular diseases.,United States,251-500,"$560,625,793",USD,post_ipo_equity,"Health Care, Medical, Medical Device, Therapeutics",Silk Road Medical,"Michi Garrison, Tony M. Chou","Norwest Venture Partners, Warburg Pincus, CRG, Armentum Partners, Oxford Finance LLC"
Imperative Care,Imperative Care is singularly dedicated to finding meaningful answers to unsolved problems in stroke.,United States,251-500,"$558,969,993",USD,series_e,"Health Care, Medical, Medical Device",Imperative Care,Nick Hopkins,"Ally Bridge Group, Catalio Capital Management, Bain Capital Life Sciences, Rock Springs Capital, Delos Capital"
ACELYRIN,"ACELYRIN is a biopharma company that identifies, acquires, and accelerates the development and commercialization of life-changing therapies.",United States,101-250,"$558,000,000",USD,series_c,"Biopharma, Biotechnology, Health Care",ACELYRIN,"Robert Carey, Shao-Lee Lin","OrbiMed, RTW Investments, Samsara BioCapital, Decheng Capital, Westlake Village BioPartners"
Ardelyx,Ardelyx develops novel oral therapeutics to treat mineral metabolism and metabolic disorders.,United States,251-500,"$557,675,321",USD,post_ipo_debt,"Biotechnology, Health Care, Medical",Ardelyx,"Dominique Charmot, Peter G. Schultz","New Enterprise Associates, RA Capital Management, Cormorant Asset Management, Perceptive Advisors, EcoR1 Capital"
CG Oncology,CG Oncology is a clinical-stage biopharmaceutical company focused on the development of oncolytic immunotherapies to combat cancer.,United States,51-100,"$555,570,000",USD,post_ipo_equity,"Biotechnology, Health Care, Health Diagnostics, Oncology",CG Oncology,Paul DeRidder,"RA Capital Management, Longitude Capital, Ally Bridge Group, Avidity Partners, Janus Henderson Investors"
Xeris Biopharma,"Xeris Biopharma is a pharmaceutical company that develops therapies for patients in endocrinology, neurology, and gastroenterology.",United States,251-500,"$548,500,000",USD,post_ipo_debt,"Biotechnology, Diabetes, Health Care, Pharmaceutical, Therapeutics",Xeris Biopharma,"John Kinzell, Steven Prestrelski","Mérieux Equity Partners, Deerfield, Redmile Group, Silicon Valley Bank, Hayfin Capital Management"
Krystal Biotech,Krystal Biotech provide significant clinical benefit for patients suffering from rare debilitating disorders..,United States,251-500,"$546,000,000",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care",Krystal Biotech,Suma Krishnan,"Redmile Group, Frazier Healthcare Partners, Frazier Life Sciences, Avoro Capital Advisors, Sun Pharmaceutical Industries"
Nurix Therapeutics,Nurix Therapeutics is a biopharmaceutical company that focuses on the development and discovery of small molecule drugs.,United States,251-500,"$545,900,000",USD,post_ipo_equity,"Biotechnology, Health Care, Life Science, Therapeutics",Nurix Therapeutics,"Arthur Weiss, John Kuriyan, Michael Rape","Wellington Management, Bain Capital Life Sciences, Foresite Capital, Third Rock Ventures, EcoR1 Capital"
NGM Biopharmaceuticals,NGM Biopharmaceuticals is a drug discovery company developing biotherapeutics for the gastrointestinal endocrine system.,United States,101-250,"$542,438,996",USD,series_a,"Biopharma, Biotechnology, Genetics, Medical",NGM Biopharmaceuticals,Jin-Long Chen,"Merck, The Column Group, Rho Capital Partners, Topspin Partners, Greenspring Associates"
ORIC Pharmaceuticals,ORIC Pharmaceuticals is a biopharmaceutical company that develops treatments that target the causes of therapeutic resistance.,United States,51-100,"$533,000,000",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care, Pharmaceutical, Therapeutics",ORIC Pharmaceuticals,"Charles Sawyers, Richard Heyman, Scott Lowe","New Enterprise Associates, Point72, OrbiMed, Vivo Capital, Pfizer"
Dice Therapeutics,Dice Therapeutics is a clinical-stage biopharmaceutical company that makes medicines for chronic autoimmune and inflammatory diseases.,United States,51-100,"$532,381,896",USD,post_ipo_equity,"Biotechnology, Medical, Medical Device",Dice Therapeutics,"Kevin Judice, Phil Patten","RA Capital Management, Sands Capital Ventures, Soleus Capital, Agent Capital, OUP (Osage University Partners)"
Formation Bio,Formation Bio is a drug development company that strives to provide treatments to patients faster by reimagining clinical trials.,United States,101-250,"$528,000,000",USD,series_d,"Artificial Intelligence (AI), Biotechnology, Clinical Trials, Health Care, Medical, Pharmaceutical",Formation Bio,"Benjamine Liu, Kit Dobyns, Linhao Zhang","Andreessen Horowitz, Sequoia Capital, FPV Ventures, Sanofi, Thrive Capital"
Viela Bio,Viela Bio is a clinical-stage biotechnology company pioneering and advancing treatments for severe inflammation and autoimmune diseases.,United States,101-250,"$526,253,240",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Diagnostics, Medical, Wellness",Viela Bio,,"Temasek Holdings, Cormorant Asset Management, Goldman Sachs, AstraZeneca, Hillhouse Investment"
Exelixis,"Exelixis works is focused on discovering, developing and commercializing therapies for the treatment of cancer and other serious diseases.",United States,251-500,"$514,000,000",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical",Exelixis,"Corey Goodman, Stelios Papadopoulos","Deerfield, Silicon Valley Bank, Atlas Venture, Oxford Bioscience Partners, PaineWebber"
Inovio Pharmaceuticals,"Inovio is a biotech company focusing on bringing to market DNA medicines for diseases associated with HPV, cancer, and infectious diseases.",United States,101-250,"$512,383,430",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",Inovio Pharmaceuticals,"David Weiner, J. Joseph Kim","Bill & Melinda Gates Foundation, Korea Investment Partners, U.S. Department of Defense, DARPA, Deep Track Capital"
Prothena,Prothena is a clinical-stage neuroscience company focused on the discovery and development of novel therapies.,United States,101-250,"$505,499,997",USD,post_ipo_equity,"Biotechnology, Health Care, Health Diagnostics",Prothena,Dennis Selkoe,Sofinnova Investments
Metsera,Metsera is a biopharmaceutical company that develops medicines for obesity and metabolic diseases.,United States,51-100,"$505,000,000",USD,series_b,"Biopharma, Health Care, Medical, Pharmaceutical",Metsera,Whit Bernard,"Wellington Management, RA Capital Management, ARCH Venture Partners, SoftBank Vision Fund, Fidelity"
Ambrx,Ambrx is a clinical-stage biopharmaceutical company using expanded genetic code technology for next-gen therapies and immune modulation.,United States,51-100,"$500,949,000",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care, Life Science, Therapeutics",Ambrx,"Peter Schultz, Troy Wilson","BlackRock, Cormorant Asset Management, Maverick Ventures, Versant Ventures, Fidelity"
Outcome Health,Outcome Health delivers better health outcomes and impacts the human condition positively through technology.,United States,101-250,"$500,000,000",USD,private_equity,"Digital Media, Health Care, Information Technology, Life Science, Medical Device",Outcome Health,"Rishi Shah, Shradha Agarwal","Goldman Sachs, CapitalG, Prudence, BAM Elevate, 50 South Capital"
Provention Bio,"Provention Bio is a clinical stage biopharmaceutical dedicated to sourcing, developing, and commercializing novel therapeutics.",United States,101-250,"$498,500,000",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",Provention Bio,"Ashleigh Palmer, Francisco Leon","Sanofi, Hercules Capital, MDB Capital Group, JDRF T1D Fund, Armistice Capital"
Terns Pharmaceuticals,Terns Pharmaceuticals is a biopharmaceutical company that focuses on discovering therapies that will improve the global disease burden.,United States,51-100,"$498,450,000",USD,post_ipo_equity,"Biotechnology, Health Care, Medical, Medical Device, Pharmaceutical",Terns Pharmaceuticals,Weidong Zhong,"OrbiMed, Eli Lilly, Vivo Capital, Lilly Asia Ventures, Deerfield"
Otonomy,Otonomy is a biopharmaceutical company developing and commercializing treatments for diseases of the inner and middle ear.,United States,51-100,"$498,012,625",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care",Otonomy,"Allen F. Ryan, Jay Lichter, Jeffrey Harris","OrbiMed, Perceptive Advisors, Ally Bridge Group, OUP (Osage University Partners), RiverVest"
Mirum Pharmaceuticals,Mirum Pharmaceuticals is a biopharmaceutical company focused on the development and commercialization of therapies.,United States,251-500,"$497,000,000",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",Mirum Pharmaceuticals,"Alejandro Dorenbaum, Christopher Peetz, Niall O'Donnell, Susan Dubé","New Enterprise Associates, Novo Holdings, Frazier Healthcare Partners, Oberland Capital, Pappas Capital"
Sierra Oncology,Sierra Oncology is a clinical-stage drug development company that advances targeted therapeutics for the treatment of cancer patients.,United States,101-250,"$494,131,452",USD,post_ipo_equity,"Biotechnology, Health Care, Life Science, Oncology, Therapeutics",Sierra Oncology,"Mina Patel Sooch, Robert Forgey","RA Capital Management, OrbiMed, Frazier Healthcare Partners, Vivo Capital, Capital Midwest Fund"
Lyell Immunopharma,Lyell Immunopharma is an operator of a biotechnology company that develops cellular therapies to cure cancer.,United States,251-500,"$492,999,957",USD,series_c,"Biotechnology, Health Care, Medical, Pharmaceutical",Lyell Immunopharma,"Rick Klausner, Scott Boyken","Bill & Melinda Gates Foundation, ARCH Venture Partners, Mubadala, Arrive, Sahsen Ventures"
Proteus Digital Health,"Proteus Digital Health develops digital medicines that collect and aggregate various behavioral, physiological and therapeutic metrics.",United States,251-500,"$491,975,979",USD,series_unknown,"Health Care, Medical, Mobile, Pharmaceutical",Proteus Digital Health,"Andrew Thompson, George Savage, Mark Zdeblick","Adams Street Partners, Novartis, The Carlyle Group, Oracle, Asset Management Ventures (AMV)"
Arcturus Therapeutics,Arcturus Therapeutics is a clinical-stage company specializing in mRNA medicines and vaccines.,United States,101-250,"$489,580,050",USD,grant,"Biotechnology, Genetics, Health Care, Medical, Therapeutics",Arcturus Therapeutics,"Joseph Payne, Pad (Padmanabh) Chivukula","Cystic Fibrosis Foundation, Biomedical Advanced Research and Development Authority (BARDA), Japan - The Government of Japan"
Kallyope,Kallyope uses the science of gut-brain biology to create medicines that transform human health.,United States,51-100,"$487,200,000",USD,grant,"Biotechnology, Health Care, Medical, Pharmaceutical",Kallyope,"Charles Zuker, Richard Axel, Tom Maniatis","StepStone Group, Bill & Melinda Gates Foundation, Lux Capital, Two Sigma Ventures, Polaris Partners"
Adamas Pharmaceuticals,Adamas Pharmaceuticals develops controlled release combination therapeutics for infectious diseases and central nervous system disorders.,United States,51-100,"$483,200,000",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",Adamas Pharmaceuticals,Greg Went,"Northgate Capital, Mohr Davidow Ventures, DAG Ventures, Aeris Capital"
Color,"Color is a healthcare delivery platform that offers cancer prevention, screening programs, and healthcare services for people.",United States,251-500,"$482,000,000",USD,series_e,"Apps, Biotechnology, Electronic Health Record (EHR), Genetics, Health Care, Personal Health",Color,"Elad Gil, Nish Bhat, Othman Laraki, Taylor Sittler","General Catalyst, Khosla Ventures, 8VC, Caffeinated Capital, Shasta Ventures"
Regulus Therapeutics,Regulus Therapeutics is a clinical stage biopharmaceutical company focused on the development and discovery of microRNA therapeutics.,United States,51-100,"$480,899,992",USD,post_ipo_equity,"Biotechnology, Genetics, Health Care, Therapeutics",Regulus Therapeutics,,"New Enterprise Associates, RA Capital Management, Vivo Capital, Adage Capital Management, Octagon Capital Advisors"
DNAnexus,DNAnexus develops a cloud platform and global network designed for scientific collaboration and accelerated discovery.,United States,101-250,"$472,550,000",USD,series_h,"Bioinformatics, Biotechnology, Cloud Computing, Medical, Software",DNAnexus,"Andreas Sundquist, Arend Sidow, Serafim Batzoglou","Uncork Capital, First Round Capital, Felicis, Microsoft, Perceptive Advisors"
Pharmapacks,Pharmapacks is an e-commerce company that offers products for daily health and wellness needs.,United States,101-250,"$472,500,000",USD,private_equity,"Beauty, E-Commerce, Health Care, Retail, Wellness",Pharmapacks,"Adam Berkowitz, Andrew Vagenas, Bradley Tramunti, Jonathan Webb","JP Morgan Chase, The Carlyle Group, Sealed Air, Reckitt, McKesson Ventures"
PayZen,"PayZen is a healthcare fintech startup tackling healthcare affordability by using financial technology, AI, and machine learning.",United States,51-100,"$472,000,000",USD,debt_financing,"Financial Services, FinTech, Health Care, Payments, Software",PayZen,"Ariel Rosenthal, Itzik Cohen, Tobias Mezger","New Enterprise Associates, SignalFire, Viola Ventures, Viola Credit, Picus Capital"
Evofem Biosciences,Evofem is a biopharmaceutical company that offers women reproductive and contraceptive care products.,United States,51-100,"$471,800,000",USD,post_ipo_equity,"Biopharma, Health Care, Medical, Women's",Evofem Biosciences,Saundra Pelletier,"Morgan Stanley, Invesco, Domain Associates, Alta Partners, Keystone Capital"
Achillion Pharmaceuticals,A biopharmaceutical company dedicated to transforming the lives of patients and families affected by disorders of the complement system.,United States,51-100,"$468,710,201",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",Achillion Pharmaceuticals,William Rice,"Advent International, Connecticut Innovations, Atlas Venture, Domain Associates, Clarus Ventures"
Inscripta,Inscripta is a life science technology company that develops digital genome engineering solutions.,United States,51-100,"$463,899,973",USD,series_unknown,"Biotechnology, Health Care, Life Science, Software",Inscripta,"Andrew Garst, Ryan T. Gill, Tanya Warnecke","Oak HC/FT, Venrock, Mérieux Equity Partners, Foresite Capital, Fidelity"
Abridge,Abridge is an AI-driven platform that transforms patient-clinician conversations into structured clinical notes for healthcare industries.,United States,101-250,"$457,500,000",USD,series_d,"Artificial Intelligence (AI), Electronic Health Record (EHR), Enterprise Software, Generative AI, Health Care, Intelligent Systems, Machine Learning, Medical, Natural Language Processing, SaaS",Abridge,"Florian Metze, Sandeep Konam, Shivdev Rao","Bessemer Venture Partners, Lightspeed Venture Partners, Union Square Ventures, Spark Capital, Pillar VC"
NeuroPace,NeuroPace develops and markets implantable devices for the treatment of neurological disorders.,United States,101-250,"$457,100,000",USD,post_ipo_debt,"Health Care, Manufacturing, Medical Device, Neuroscience",NeuroPace,David Fischell,"New Enterprise Associates, OrbiMed, Kleiner Perkins, MidCap Financial, National Institutes of Health"
TG Therapeutics,"TG Therapeutics, a biopharmaceutical company, develops agents for the treatment of hematologic malignancies and autoimmune disorders.",United States,251-500,"$455,000,000",USD,post_ipo_debt,"Biotechnology, Health Care, Therapeutics",TG Therapeutics,Michael S. Weiss,"Blue Owl, Hercules Capital, HealthCare Royalty Partners"
Mineralys Therapeutics,Mineralys Therapeutics is a clinical-stage biopharmaceutical company committed to developing therapy for the treatment of hypertension.,United States,51-100,"$453,000,000",USD,post_ipo_equity,"Biopharma, Biotechnology, Medical, Pharmaceutical",Mineralys Therapeutics,BT Slingsby,"RA Capital Management, OrbiMed, Adams Street Partners, RTW Investments, Samsara BioCapital"
Ignyta,Ignyta is a biotechnology company catalyzing personalized medicine in autoimmune diseases.,United States,101-250,"$450,500,000",USD,post_ipo_equity,"Biotechnology, Health Care, Health Diagnostics, Precision Medicine",Ignyta,"Gary Firestein, Jonathan Lim","Frazier Healthcare Partners, Silicon Valley Bank, Casdin Capital, Teva Pharmaceuticals, Oxford Finance LLC"
MindMed,MindMed provides psychedelic-inspired medicines and therapies for substance abuse disorders and other mental illnesses.,United States,101-250,"$448,819,263",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",MindMed,Robert Barrow,"CIBC, Soleus Capital, Ally Bridge Group, Janus Henderson Investors, Great Point Partners"
Anacor Pharmaceutical,Anacor Pharmaceutical is a biopharmaceutical company developing small-molecule therapeutics from its boron chemistry platform.,United States,51-100,"$448,350,000",USD,post_ipo_debt,"Biotechnology, Health Care, Pharmaceutical",Anacor Pharmaceutical,"Lucy Shapiro, Stephen Benkovic","Venrock, Rho Capital Partners, Hercules Capital, U.S. Department of the Treasury, Aberdare Ventures"
CytomX Therapeutics,CytomX Therapeutics is a biotechnology company that focuses on developing proteolytically-activated antibodies.,United States,101-250,"$445,423,000",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",CytomX Therapeutics,"Fred Gluck, Nancy E. Stagliano, Patrick Daugherty","Wellington Management, Cormorant Asset Management, Venrock, OrbiMed, Perceptive Advisors"
TigerConnect,TigerConnect is a healthcare collaboration platform that streamlines clinical workflows and systems.,United States,251-500,"$433,900,000",USD,private_equity,"Collaboration, Compliance, Enterprise, Enterprise Software, Health Care, Information Technology, mHealth, Productivity Tools, SaaS, Software",TigerConnect,"Andrew Brooks M.D., Brad Brooks","Norwest Venture Partners, Vista Equity Partners, OrbiMed, Industry Ventures, HealthQuest Capital"
Tenaya Therapeutics,Tenaya Therapeutics a clinical-stage biotechnology company that develops novel therapies to treat heart diseases.,United States,101-250,"$433,500,000",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care, Therapeutics",Tenaya Therapeutics,"Benoit Bruneau, Bruce Conklin, Deepak Srivastava, Eric Olson, Saptarsi Haldar, Sheng Ding","RA Capital Management, RTW Investments, Soleus Capital, Fidelity, Google Ventures"
Abeona Therapeutics,Abeona Therapeutics develops gene therapy-based potential cures for Sanfilippo syndrome types A and B.,United States,101-250,"$429,700,000",USD,post_ipo_equity,"Biotechnology, Genetics, Health Care, Manufacturing, Medical Device",Abeona Therapeutics,"Douglas McCarty, Haiyan Fu","Vivo Capital, EcoR1 Capital, Deerfield, Janus Henderson Investors, RBC Capital Markets"
Neurona Therapeutics,"Neurona Therapeutics develops cell therapies for neurological disorders, focusing on treatments like NRTX-1001 for epilepsy.",United States,101-250,"$426,113,942",USD,series_f,"Biotechnology, Health Care, Therapeutics",Neurona Therapeutics,"Arnold Kriegstein, Cory R. Nicholas","Schroders Capital, Cormorant Asset Management, National Institutes of Health, Ysios Capital, Soleus Capital"
Quotient Biodiagnostics,Quotient Biodiagnostics develops and manufactures products for use in transfusion diagnostics.,United States,251-500,"$423,700,000",USD,post_ipo_equity,"Biotechnology, Health Care, Health Diagnostics, Manufacturing",Quotient Biodiagnostics,Paul Cowan,"MidCap Financial, Highbridge Capital Management, Galen Partners, Paul Cowan"
Cedar,"Cedar is a patient payment and engagement platform for hospitals, health systems, and medical groups that elevates the patient experience.",United States,251-500,"$419,361,000",USD,series_d,"Billing, FinTech, Health Care, Medical, Payments",Cedar,"Arel Lidow, Florian Otto, Kareem Zaki","Andreessen Horowitz, Founders Fund, Thrive Capital, Craft Ventures, JP Morgan Chase"
K Health,K Health is a data-driven digital primary care system that uses AI to deliver personalized primary care services.,United States,251-500,"$418,701,397",USD,series_unknown,"Artificial Intelligence (AI), Health Care, Information Technology, mHealth, Mobile Apps, Primary and Urgent Care",K Health,"Adam Singolda, Allon Bloch, Israel Roth, Ran Shaul","BoxGroup, Primary Venture Partners, Bessemer Venture Partners, Valor Equity Partners, Max Ventures"
RayzeBio,RayzeBio is a pharmaceuticals company that develops targeted radiopharmaceutical drugs for cancer.,United States,51-100,"$418,000,000",USD,series_d,"Biotechnology, Health Care, Medical Device, Pharmaceutical",RayzeBio,"Aron Knickerbocker, Deborah Charych","Cormorant Asset Management, Wellington Management, OrbiMed, Perceptive Advisors, Versant Ventures"
Presence,"Presence makes live, online special education related services available to K-12 students.",United States,251-500,"$414,156,092",USD,private_equity,"Education, Health Care, Special Education, Therapeutics, Video Conferencing",Presence,"Clay Whitehead, Jack Lynch","Ulu Ventures, New Markets Venture Partners, Bain Capital Double Impact Fund, Allen & Company, Birchmere Ventures"
Talkspace,"Talkspace is a digital therapy company that offers online therapy, online counseling, psychiatry and medication management, and self-care.",United States,251-500,"$413,700,000",USD,post_ipo_equity,"Consulting, Health Care, InsurTech, Mental Health, mHealth, Therapeutics",Talkspace,"Farid Chaouki, Oren Frank, Roni Frank","Norwest Venture Partners, Spark Capital, Deerfield, SoftBank, Qumra Capital"
TriVascular,TriVascular develops new medical devices providing optimal solutions for endovascular aortic repair (EVAR).,United States,251-500,"$412,950,270",USD,post_ipo_debt,"Health Care, Health Diagnostics, Medical Device",TriVascular,"Joseph Humphrey, Michael V. Chobotov, Robert Whirley","New Enterprise Associates, Redmile Group, Deerfield, MPM Capital, CRG"
Synergy Pharmaceuticals,Synergy Pharmaceuticals is a biopharmaceutical company developing novel therapies for the treatment of gastrointestinal conditions.,United States,101-250,"$407,231,243",USD,post_ipo_debt,"Biotechnology, Health Care, Health Diagnostics, Pharmaceutical",Synergy Pharmaceuticals,"Gary S. Jacob, Kunwar Shailubhai",CRG
Oak Street Health,Oak Street Health is a network of primary care centers for adults on Medicare.,United States,101-250,"$405,335,000",USD,post_ipo_debt,"Health Care, Health Diagnostics, Hospital, Medical, Primary and Urgent Care",Oak Street Health,"Geoff Price, Griffin Myers, Mike Pykosz","General Atlantic, Silicon Valley Bank, Hercules Capital, Oxeon Partners, Quantum Strategic Partners"
Helix,Helix is a population genomics company that is working to advance genomics research and integrate genomic data into clinical care.,United States,101-250,"$403,000,000",USD,series_c,"Big Data, Bioinformatics, Biotechnology, Blockchain, Cryptocurrency, FinTech, Genetics, Health Care, Personal Health",Helix,"James Lu, Justin Kao, Scott Burke","Temasek Holdings, DFJ Growth, Kleiner Perkins, Warburg Pincus, Mayo Clinic"
Gynesonics,"Gynesonics develops transcervical, uterus-preserving, incision-less technologies for diagnostic and therapeutic applications.",United States,101-250,"$401,780,644",USD,series_unknown,"Health Care, Medical, Medical Device, Women's",Gynesonics,Jessica Grossman,"Bain Capital, Correlation Ventures, Runway Growth Capital, Abingworth, MVM Life Science Partners"
Sientra,Sientra is a medical device company that offers breast implant treatments for breast augmentation and reconstruction.,United States,101-250,"$400,700,000",USD,post_ipo_equity,"Health Care, Manufacturing, Medical Device, Pharmaceutical, Women's",Sientra,Hani Zeini,"OrbiMed, Goldman Sachs, Abingworth, Deerfield, Silicon Valley Bank"
Celularity,Celularity is a clinical-stage biotechnology company developing off-the-shelf placental-derived allogeneic cell therapies.,United States,101-250,"$400,000,011",USD,post_ipo_equity,"Biotechnology, Health Care, Therapeutics, Wellness",Celularity,"Andrew L. Pecora, Peter Diamandis, Robert J. Hariri","Alumni Ventures, S32, Human Longevity, Heritage Group, Green D Ventures"
Neuronetics,Neuronetics is a medical device company that develops non-invasive therapies for psychiatric and neurological disorders.,United States,101-250,"$391,400,000",USD,post_ipo_equity,"Biotechnology, Health Care, Manufacturing, Medical Device, Therapeutics",Neuronetics,"Charles Epstein, Norman Weldon, Thomas D. Weldon","Industry Ventures, Polaris Partners, New Leaf Venture Partners, SLR Capital Partners, Ascension Ventures"
Orexigen Therapeutics,Orexigen Therapeutics is a biopharmaceutical company focused on the treatment of obesity.,United States,101-250,"$387,900,000",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical",Orexigen Therapeutics,Eckard Weber,"New Enterprise Associates, Kleiner Perkins, Scale Venture Partners, MPM Capital, Sofinnova Investments"
Visby Medical,Visby Medical is a diagnostics company that develops PCR-based diagnostic tests for the detection of infectious diseases.,United States,101-250,"$380,811,564",USD,grant,"Health Care, Health Diagnostics, Medical",Visby Medical,Adam de la Zerda,"Plug and Play, Lightrock, Pitango VC, J-Ventures, Cedars Sinai"
EndoGastric Solutions,EGS manufactures EsophyX technology is used to reconstruct the gastroesophageal valve in the TIF 2.0 procedure.,United States,51-100,"$380,194,629",USD,series_unknown,"Health Care, Health Diagnostics, Medical Device",EndoGastric Solutions,"Jim Fitzsimmons, Scott J. Wolf, Stefan Kraemer","Canaan Partners, MPM Capital, CRG, Accelmed, Vertex Growth Fund"
Passage Bio,Passage Bio is a fully integrated gene therapy company developing therapies for the treatment of monogenic central nervous system diseases.,United States,51-100,"$379,500,000",USD,post_ipo_equity,"Biotechnology, Health Care, Therapeutics, Wellness",Passage Bio,James Wilson,"OrbiMed, Versant Ventures, Frazier Healthcare Partners, Vivo Capital, Lilly Asia Ventures"
Crescent Biopharma,Crescent Biopharma is a biopharmaceutical company designing and developing small molecule therapeutics to treat various cancers.,United States,51-100,"$373,379,412",USD,post_ipo_equity,"Biotechnology, Health Care, Therapeutics",Crescent Biopharma,"John Magnani, Rachel King","New Enterprise Associates, Novartis Venture Fund, PTV Healthcare Capital, Sanofi Ventures, Alliance Technology Ventures"
Vividion Therapeutics,Vividion is a developer of a novel drug discovery platform designed to offer transformative treatments to patients with serious illnesses.,United States,251-500,"$371,504,616",USD,series_c,"Biotechnology, Health Care, Therapeutics",Vividion Therapeutics,"Benjamin Cravatt, Jin-Quan Yu, Phil Baran","RA Capital Management, ARCH Venture Partners, Versant Ventures, SoftBank Vision Fund, Nextech Invest"
Eargo,Eargo specializes in the design and development of hearing aids.,United States,251-500,"$371,476,928",USD,post_ipo_equity,"Health Care, Medical Device, Wearables",Eargo,"Daniel Shen, Florent Michel, Raphael Michel","New Enterprise Associates, Longitude Capital, Crosslink Capital, Maveron, Patient Square Capital"
Human Longevity,"Human Longevity is a genomic-based, health intelligence company empowering proactive healthcare and enabling a life better lived.",United States,51-100,"$369,800,000",USD,series_b,"Biotechnology, Genetics, Health Care, Health Diagnostics",Human Longevity,"Elizabeth Hunker, J. Craig Venter, Peter Diamandis, Robert J. Hariri","Amino Capital, Illumina, Illumina Ventures, Threshold, Viridos"
Soleno Therapeutics,Soleno Therapeutics is a clinical-stage biopharmaceutical company.,United States,101-250,"$369,200,000",USD,post_ipo_debt,"Biotechnology, Medical, Pharmaceutical",Soleno Therapeutics,Anish Bhatnagar,"Perceptive Advisors, Abingworth, Frazier Life Sciences, Adage Capital Management, Commodore Capital"
Exagen,"Exagen is a patient focused, discovery-driven life science company serving patients affected by autoimmune rheumatic diseases.",United States,101-250,"$367,828,116",USD,post_ipo_equity,"Biotechnology, Genetics, Health Care, Health Diagnostics, Life Science, Medical, Therapeutics",Exagen,"Cole Harris, Giorgio Casaburi, Waneta Tuttle","Perceptive Advisors, Cottonwood Technology Fund, EPIC Ventures, CRG, Sun Mountain Capital"
Earlens,Earlens is a medical technology company transforming the hearing experience with the only direct sound delivery system.,United States,101-250,"$366,902,184",USD,series_unknown,"Health Care, Medical, Medical Device",Earlens,"John Winstead, Jonathan Fay, Rodney Perkins, Sunil Puria","New Enterprise Associates, Vertex Ventures, Lightstone Ventures, Vertex Ventures HC, Medtronic"
Kythera Biopharmaceuticals,"Kythera Biopharmaceuticals discovers, develops and commercializes novel prescription products for the aesthetic medicine market.",United States,101-250,"$366,900,000",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care",Kythera Biopharmaceuticals,"Jay Birnbaum, Nathaniel David","Versant Ventures, ARCH Venture Partners, Latham & Watkins, Invus, Wilson Sonsini Goodrich & Rosati"
Intuity Medical,Intuity Medical develops blood glucose monitoring systems for diabetes management.,United States,51-100,"$365,169,154",USD,debt_financing,"Biotechnology, Diabetes, Health Care, Medical, Medical Device",Intuity Medical,Syrous Parsay,"Versant Ventures, Venrock, U.S. Venture Partners, Silicon Valley Bank, Hercules Capital"
Bionano Genomics,Bionano Genomics is a biotechnology company that provides genome analysis solutions to researchers and clinicians.,United States,101-250,"$359,133,200",USD,post_ipo_equity,"Biotechnology, Genetics, Health Diagnostics, Medical",Bionano Genomics,Han Cao,"Legend Capital, Ben Franklin Technology Partners of Southeastern Pennsylvania, Domain Associates, LC Ventures, Novartis Venture Fund"
